id,cleaned,token
1242,pentingnya mempeahankan stabilitas keamanan pasca pemilu ,"['mempeahankan', 'stabilitas', 'aman', 'pasca', 'milu']"
1243,bangun ruang digital bersih dan sehat untuk demokrasi indonesia yg kuat pemilu tanpa hoax ,"['bangun', 'ruang', 'digital', 'bersih', 'sehat', 'demokrasi', 'indonesia', 'yg', 'kuat', 'milu', 'hoax']"
1244,imbauan menghormati proses rekapitulasi suara nasional pemilu di kpu ri ,"['imbau', 'hormat', 'proses', 'rekapitulasi', 'suara', 'nasional', 'milu', 'kpu', 'ri']"
1245,klarifikasi data dpt dan penanganan honorarium sea kesehatan petugas kpps menjadi prioritas untuk menjaga transparansi dan meningkatkan kepercayaan publik terhadap hasil pemilu ,"['klarifikasi', 'data', 'dpt', 'tangan', 'honorarium', 'sea', 'sehat', 'tugas', 'kpps', 'prioritas', 'jaga', 'transparansi', 'tingkat', 'percaya', 'publik', 'hasil', 'milu']"
1246,hak angket di dpr ri tidak akan mengubah hasil pemilu ,"['hak', 'angket', 'dpr', 'ri', 'tidak', 'ubah', 'hasil', 'milu']"
1247,penyelenggara pemilu mengimbau pelaporan kecurangan secara resmi sementara tokoh masyarakat mengajak untuk menjaga ketenangan dan tidak terprovokasi oleh informasi palsu ,"['selenggara', 'milu', 'imbau', 'lapor', 'curang', 'resmi', 'tokoh', 'masyarakat', 'ajak', 'jaga', 'tenang', 'tidak', 'provokasi', 'informasi', 'palsu']"
1248,adanya hak angket atau interpelasi menjadi langkah yang sangat tepat urgent strategis dan konstitusional sehingga memerlukan dukungan publik yang meluas ,"['hak', 'angket', 'interpelasi', 'langkah', 'urgent', 'strategis', 'konstitusional', 'dukung', 'publik', 'luas']"
1249,upaya kpu hadapi tantangan pemilu demi wujudkan prinsip luberjurdil klarifikasi data dpt dan penanganan honorarium sea kesehatan petugas kpps menjadi prioritas untuk menjaga transparansi ,"['upaya', 'kpu', 'hadap', 'tantang', 'milu', 'wujud', 'prinsip', 'luberjurdil', 'klarifikasi', 'data', 'dpt', 'tangan', 'honorarium', 'sea', 'sehat', 'tugas', 'kpps', 'prioritas', 'jaga', 'transparansi']"
1250,klarifikasi data dpt dan penanganan honorarium sea kesehatan petugas kpps menjadi prioritas untuk menjaga transparansi dan meningkatkan kepercayaan publik terhadap hasil pemilu ,"['klarifikasi', 'data', 'dpt', 'tangan', 'honorarium', 'sea', 'sehat', 'tugas', 'kpps', 'prioritas', 'jaga', 'transparansi', 'tingkat', 'percaya', 'publik', 'hasil', 'milu']"
1251,kpu telah menjalankan tahap kritis pemilu dengan berbagai tantangan sepei pencoblosan ulang di beberapa wilayah karena faktor geografis dan cuaca sea penghitungan suara ulang ,"['kpu', 'jalan', 'tahap', 'kritis', 'milu', 'tantang', 'pei', 'coblos', 'ulang', 'wilayah', 'faktor', 'geografis', 'cuaca', 'sea', 'hitung', 'suara', 'ulang']"
1252,mk telah menjalankan tugas menyelesaikan sengketa pemilu sesuai peraturan perundang undangan membuat keputusannya final dan tak terpengaruh oleh hak angket dpr ,"['mk', 'jalan', 'tugas', 'selesai', 'sengketa', 'milu', 'sesuai', 'atur', 'undang', 'undang', 'putus', 'final', 'pengaruh', 'hak', 'angket', 'dpr']"
1253,mahkamah konstitusi mk telah menjalankan tugas menyelesaikan sengketa pemilu sesuai peraturan perundang undangan membuat keputusannya final dan tak final ,"['mahkamah', 'konstitusi', 'mk', 'jalan', 'tugas', 'selesai', 'sengketa', 'milu', 'sesuai', 'atur', 'undang', 'undang', 'putus', 'final', 'final']"
1254,hak angket meskipun merupakan alat kontrol parlemen jika digunakan dalam konteks ini berpotensi menimbulkan ketidakstabilan politik ,"['hak', 'angket', 'alat', 'kontrol', 'parlemen', 'konteks', 'potensi', 'timbul', 'ketidakstabilan', 'politik']"
1255,hasil pemilu ditentukan oleh suara sah pemilih dalam pemungutan suara yang teratur hak angket meskipun merupakan alat kontrol parlemen jika digunakan dalam konteks ini berpotensi menimbulkan ketidakstabilan politik ,"['hasil', 'milu', 'tentu', 'suara', 'sah', 'pilih', 'mungut', 'suara', 'atur', 'hak', 'angket', 'alat', 'kontrol', 'parlemen', 'konteks', 'potensi', 'timbul', 'ketidakstabilan', 'politik']"
1256,pemilu adanya hak angket atau interpelasi menjadi langkah yang sangat tepat urgent strategis dan konstitusional sehingga memerlukan dukungan publik yang meluas ,"['milu', 'hak', 'angket', 'interpelasi', 'langkah', 'urgent', 'strategis', 'konstitusional', 'dukung', 'publik', 'luas']"
1257,pahami peran mahkamah konstitusi dan hak angket dpr dalam sistem demokrasi pemilu ,"['paham', 'peran', 'mahkamah', 'konstitusi', 'hak', 'angket', 'dpr', 'sistem', 'demokrasi', 'milu']"
1258,kalian udah memilih nih ,"['udah', 'pilih', 'nih']"
1259,dukung pemilu tanpa kecurangan kawal suara real count di sirekap untuk demokrasi sehat ,"['dukung', 'milu', 'curang', 'kawal', 'suara', 'real', 'count', 'sirekap', 'demokrasi', 'sehat']"
1260,jangan biarkan hoax memecah belah bersatu kita teguh menjaga kerukunan dan persatuan sebelum saat dan setelah pemilu ,"['biar', 'hoax', 'pecah', 'belah', 'satu', 'teguh', 'jaga', 'rukun', 'satu', 'milu']"
1261,pemung tan s ara sudah kita laluidenganlancar dan gembira selanj tnya mari kita kawal penghitungans ara dengan damai dan hormati hasilnya ,"['mung', 'tan', 's', 'ara', 'laluidenganlancar', 'gembira', 'selanj', 'tnya', 'mari', 'kawal', 'penghitungans', 'ara', 'damai', 'hormat', 'hasil']"
1262,sirekap dan kawalpemilu inovasi dalam pemilu untuk demokrasi yang transparan ,"['sirekap', 'kawalpemilu', 'inovasi', 'milu', 'demokrasi', 'transparan']"
1263,tolak segala provokasi dan hoax penghitungan suara untuk menjaga pemilu aman damai dan kondusif ,"['tolak', 'provokasi', 'hoax', 'hitung', 'suara', 'jaga', 'milu', 'aman', 'damai', 'kondusif']"
1264,semua paslon pasti memiliki rencana kerja yang terbaik bagi bangsa siapapun yang menang juga pasti akan melakukan yang terbaik demi kemajuan bangsa ,"['paslon', 'pasti', 'milik', 'rencana', 'kerja', 'baik', 'bangsa', 'menang', 'pasti', 'baik', 'maju', 'bangsa']"
1265,pemilu damai bersatu pasca pemilu dukung dialog antarpasangan calon dan tunggu pengumuman resmi hasil pemilu oleh kpu ri ,"['milu', 'damai', 'satu', 'pasca', 'milu', 'dukung', 'dialog', 'antarpasangan', 'calon', 'tunggu', 'umum', 'resmi', 'hasil', 'milu', 'kpu', 'ri']"
1266,pemilu meski penuh ketegangan dalam kampanye dan pemungutan suara berhasil diadakan dalam suasana damai ,"['milu', 'penuh', 'tegang', 'kampanye', 'mungut', 'suara', 'hasil', 'ada', 'suasana', 'damai']"
1267,kita telah berhasil melaksanakan pemungutan suara secara damai sekarang waktunya menjaga perdamaian itu sambil menunggu hasil penghitungan suara oleh kpu ,"['hasil', 'laksana', 'mungut', 'suara', 'damai', 'jaga', 'damai', 'tunggu', 'hasil', 'hitung', 'suara', 'kpu']"
1268,dengan menyerukan penerimaan hasil pemilu sebagai refleksi kepercayaan rakyat yang berdampak pada ekonomi mari kawal pemilu damai sampai selesai ,"['seru', 'terima', 'hasil', 'milu', 'refleksi', 'percaya', 'rakyat', 'dampak', 'ekonomi', 'mari', 'kawal', 'milu', 'damai', 'selesai']"
1269,kedua inisiatif teknologi ini beujuan untuk mengurangi manipulasi suara dan menjamin integritas proses demokrasi menandai langkah maju dalam memastikan pemilu yang transparan dan adil ,"['inisiatif', 'teknologi', 'beujuan', 'kurang', 'manipulasi', 'suara', 'jamin', 'integritas', 'proses', 'demokrasi', 'tanda', 'langkah', 'maju', 'milu', 'transparan', 'adil']"
1270,perlu meningkatkan kesadaran publik terhadap hoaks dan memperkuat komitmen bersama dalam melawan disinformasi menjadi esensial ,"['tingkat', 'sadar', 'publik', 'hoaks', 'kuat', 'komitmen', 'lawan', 'disinformasi', 'esensial']"
1271,demokrasi yang stabil dan sehat akan menjadi dasar bagi pemerintahan yang baik good governance pembangunan berkelanjutan dan kemajuan di segala sektor bagi indonesia ,"['demokrasi', 'stabil', 'sehat', 'dasar', 'perintah', 'good', 'governance', 'bangun', 'lanjut', 'maju', 'sektor', 'indonesia']"
1272,tenang pak dzikri saya sudah bantu cek yg di input di kpu sudah benar ini ya pak scnya mana tau butuh senang membantu anda ,"['tenang', 'dzikri', 'bantu', 'cek', 'yg', 'input', 'kpu', 'ya', 'scnya', 'tau', 'butuh', 'senang', 'bantu']"
1273,upy bersama ini esensial untuk memastikan proses pemilu yang lancar dan transparan mendukung legitimasi hasil dan memperkuat fondasi demokrasi dengan informasi yang akurat ,"['upy', 'esensial', 'proses', 'milu', 'lancar', 'transparan', 'dukung', 'legitimasi', 'hasil', 'kuat', 'fondasi', 'demokrasi', 'informasi', 'akurat']"
1274,pemilu damai bersatu pasca pemilu dukung dialog antarpasangan calon dan tunggu pengumuman resmi hasil pemilu oleh kpu ri demokrasi hanya bisa maju jika kita bersatu ,"['milu', 'damai', 'satu', 'pasca', 'milu', 'dukung', 'dialog', 'antarpasangan', 'calon', 'tunggu', 'umum', 'resmi', 'hasil', 'milu', 'kpu', 'ri', 'demokrasi', 'maju', 'satu']"
1275,bersama wujudkan pemilu damai tanpa intimidasi ,"['wujud', 'milu', 'damai', 'intimidasi']"
1276,pemilu meski penuh ketegangan dalam kampanye dan pemungutan suara berhasil diadakan dalam suasana damai ,"['milu', 'penuh', 'tegang', 'kampanye', 'mungut', 'suara', 'hasil', 'ada', 'suasana', 'damai']"
1277,terima kasih atas terwujudnya pemilu yang kondusif karena seluruh rakyat sudah menjaga keamanan dan kedamaian selalu ,"['terima', 'kasih', 'wujud', 'milu', 'kondusif', 'rakyat', 'jaga', 'aman', 'damai']"
1278,tolak segala provokasi dan hoax penghitungan suara untuk menjaga pemilu aman damai dan kondusif ,"['tolak', 'provokasi', 'hoax', 'hitung', 'suara', 'jaga', 'milu', 'aman', 'damai', 'kondusif']"
1279,dengan menyerukan penerimaan hasil pemilu sebagai refleksi kepercayaan rakyat yang berdampak pada ekonomi mari kawal pemilu damai sampai selesai ,"['seru', 'terima', 'hasil', 'milu', 'refleksi', 'percaya', 'rakyat', 'dampak', 'ekonomi', 'mari', 'kawal', 'milu', 'damai', 'selesai']"
1280,kedua inisiatif teknologi ini beujuan untuk mengurangi manipulasi suara dan menjamin integritas proses demokrasi menandai langkah maju dalam memastikan pemilu yang transparan dan adil ,"['inisiatif', 'teknologi', 'beujuan', 'kurang', 'manipulasi', 'suara', 'jamin', 'integritas', 'proses', 'demokrasi', 'tanda', 'langkah', 'maju', 'milu', 'transparan', 'adil']"
1281,bismillahirohmanirohim izin yaa bukan apa apa tapi ga sepantas nya juga lo semua doa buruk begini tapi krna doa nya buat diri sendiri gue ga mau ngetik banyak deh istigfar aja kata gue seriuss semoga ga jabah ya sama yg diatas ,"['bismillahirohmanirohim', 'izin', 'yaa', 'bukan', 'ga', 'pantas', 'nya', 'lo', 'doa', 'buruk', 'krna', 'doa', 'nya', 'gue', 'ga', 'ngetik', 'deh', 'istigfar', 'aja', 'gue', 'seriuss', 'moga', 'ga', 'jabah', 'ya', 'yg', 'atas']"
1282,jaga pemilu damai pemilu yang berkualitas dan demokratis menjadi tonggak kemajuan indonesia ,"['jaga', 'milu', 'damai', 'milu', 'kualitas', 'demokratis', 'tonggak', 'maju', 'indonesia']"
1283,kpu telah menciptakan aplikasi sirekap inovasi revolusioner untuk penghitungan suara yang cepat dan akurat untuk pemilu ,"['kpu', 'cipta', 'aplikasi', 'sirekap', 'inovasi', 'revolusioner', 'hitung', 'suara', 'cepat', 'akurat', 'milu']"
1284,apkam organisasi sepei pbnu memainkan peran krusial dalam menjaga stabilitas mengajak semua pihak menghormati hasil pemilu demi pembangunan harmoni sosial ,"['apkam', 'organisasi', 'pei', 'pbnu', 'main', 'peran', 'krusial', 'jaga', 'stabilitas', 'ajak', 'hormat', 'hasil', 'milu', 'bangun', 'harmoni', 'sosial']"
1285,persatuan dan kesatuan bangsa adalah kunci untuk mencapai pembangunan yang berkelanjutan ,"['satu', 'satu', 'bangsa', 'kunci', 'capai', 'bangun', 'lanjut']"
1286,hasil patroli pengawasan bawaslu melalui aplikasi siwaslu di provinsi hingga februari mengungkap masalah pada proses pemungutan dan penghitungan suara pemilu ,"['hasil', 'patroli', 'awas', 'bawaslu', 'aplikasi', 'siwaslu', 'provinsi', 'februari', 'ungkap', 'proses', 'mungut', 'hitung', 'suara', 'milu']"
1287,aparat keamanan dan organisasi sepei pbnu memainkan peran krusial dlam menjaga stabilitas amp mengajak semua pihak menghormati hasil pemilu demi pembangunan amp harmoni sosial ,"['aparat', 'aman', 'organisasi', 'pei', 'pbnu', 'main', 'peran', 'krusial', 'dlam', 'jaga', 'stabilitas', 'amp', 'ajak', 'hormat', 'hasil', 'milu', 'bangun', 'amp', 'harmoni', 'sosial']"
1288,pencoblosan sudah dilaksanakan pilihan boleh beda tetapi kebersamaan persatuan dan kesatuan bangsa haruslah kita jaga ,"['coblos', 'laksana', 'pilih', 'beda', 'sama', 'satu', 'satu', 'bangsa', 'jaga']"
1289,pentingnya transparansi sirekap untuk mencegah potensi delegitimasi hasil pemilu ,"['transparansi', 'sirekap', 'cegah', 'potensi', 'delegitimasi', 'hasil', 'milu']"
1290,menjaga kedamaian pasca pemilu kunci membangun demokrasi yang kuat pentingnya kedamaian pasca pemilu tidak bisa diabaikan sebagai fondasi utama membangun negara yang demokratis ,"['jaga', 'damai', 'pasca', 'milu', 'kunci', 'bangun', 'demokrasi', 'kuat', 'damai', 'pasca', 'milu', 'tidak', 'abai', 'fondasi', 'utama', 'bangun', 'negara', 'demokratis']"
1291,stop hoaks ,"['stop', 'hoaks']"
1292,waspada hoaks dan provokasi mari jaga kedamaian pasca pemilu ,"['waspada', 'hoaks', 'provokasi', 'mari', 'jaga', 'damai', 'pasca', 'milu']"
1293,stop hoaks ,"['stop', 'hoaks']"
1294,hoaks mis informasi dan dis informasi musuh kita bersama ,"['hoaks', 'mis', 'informasi', 'dis', 'informasi', 'musuh']"
1295,segregasi dan konflik horizontal seolah menjadi residu yang tidak dapat langsung dihilangkan pasca pemilu ,"['segregasi', 'konflik', 'horizontal', 'residu', 'tidak', 'langsung', 'hilang', 'pasca', 'milu']"
1296,penggunaan hak angket pasca pemilu oleh kelompok kelompok yang tidak puas dengan hasil perhitungan suara merupakan pendekatan yang keliru ,"['guna', 'hak', 'angket', 'pasca', 'milu', 'kelompok', 'kelompok', 'tidak', 'puas', 'hasil', 'hitung', 'suara', 'dekat', 'keliru']"
1297,efisiensi dan ketetapan waktu adalah kunci pemilu yang damai mari bersama kita jaga kondusitifitas dan ciptakan indonesia yang maju ,"['efisiensi', 'tetap', 'kunci', 'milu', 'damai', 'mari', 'jaga', 'kondusitifitas', 'cipta', 'indonesia', 'maju']"
1298,jaga perdamaian dan persaudaraan pasca pelaksanaan pemilu agar terhindar dari perpecahan bangsa ,"['jaga', 'damai', 'saudara', 'pasca', 'laksana', 'milu', 'hindar', 'pecah', 'bangsa']"
1299,keamanan dan kondusifitas pasca pemilu dapat dimaknai sebagai pesta demokrasi indonesia yang berjalan aman dan lancar ,"['aman', 'kondusifitas', 'pasca', 'milu', 'makna', 'pesta', 'demokrasi', 'indonesia', 'jalan', 'aman', 'lancar']"
1300,rapat pleno terbuka ini diharapkan meningkatkan paisipasi publik dalam pengawasan dan validasi hasil pemungutan suara ,"['rapat', 'pleno', 'buka', 'harap', 'tingkat', 'paisipasi', 'publik', 'awas', 'validasi', 'hasil', 'mungut', 'suara']"
1301,rekonsiliasi dan pembangunan kebangsaan pasca pemilu dianggap langkah esensial untuk memperkuat persatuan dan kesatuan bangsa ,"['rekonsiliasi', 'bangun', 'bangsa', 'pasca', 'milu', 'anggap', 'langkah', 'esensial', 'kuat', 'satu', 'satu', 'bangsa']"
1302,keberhasilan ini juga menunjukkan profesionalisme kpu daerah memberi publik kepercayaan pada integritas dan keabsahan hasil pemilu ,"['hasil', 'profesionalisme', 'kpu', 'daerah', 'publik', 'percaya', 'integritas', 'absah', 'hasil', 'milu']"
1303,perolehan suara dari tingkat tps distrik hingga kabupaten tidak ada perubahan sehingga pelaksanaan rapat lainnya dapat berjalan sesuai regulasi yang ada ,"['oleh', 'suara', 'tingkat', 'tps', 'distrik', 'kabupaten', 'tidak', 'ubah', 'laksana', 'rapat', 'jalan', 'sesuai', 'regulasi']"
1304,demokrasi yang sehat memandang pentingnya paisipasi bukan hanya sebagai hak memberi suara namun juga tanggung jawab membangun masyarakat yang adil dan inklusif ,"['demokrasi', 'sehat', 'pandang', 'paisipasi', 'bukan', 'hak', 'suara', 'tanggung', 'bangun', 'masyarakat', 'adil', 'inklusif']"
1305,menciptakan situasi kondusif pasca pemilu memerlukan kerjasama pemerintah aparat keamanan masyarakat dan individu ,"['cipta', 'situasi', 'kondusif', 'pasca', 'milu', 'kerjasama', 'perintah', 'aparat', 'aman', 'masyarakat', 'individu']"
1306,waspada hoax selalu cek kebenaran dari setiap informasi untuk menjaga pelaksanaan pemilu rip legend dr slump bali ,"['waspada', 'hoax', 'cek', 'benar', 'informasi', 'jaga', 'laksana', 'milu', 'rip', 'legend', 'dr', 'slump', 'bal']"
1307,bangun ruang digital bersih dan sehat untuk demokrasi indonesia yang kuat ,"['bangun', 'ruang', 'digital', 'bersih', 'sehat', 'demokrasi', 'indonesia', 'kuat']"
1308,indonesia menunjukkan kedewasaan demokrasi dengan persatuan dan keharmonisan ,"['indonesia', 'dewasa', 'demokrasi', 'satu', 'harmonis']"
1309,dukung sinergitas semua pihak untuk menjaga stabilitas pasca pemilu ,"['dukung', 'sinergitas', 'jaga', 'stabilitas', 'pasca', 'milu']"
1310,kinerja kpu di pemilu menunjukkan komitmen kuat pada keadilan dan transparansi melalui regulasi ketat dan adaptasi terhadap tantangan daerah ,"['kerja', 'kpu', 'milu', 'komitmen', 'kuat', 'adil', 'transparansi', 'regulasi', 'ketat', 'adaptasi', 'tantang', 'daerah']"
1311,rekapitulasi suara di daerah berlangsung lancar dan kondusif kondusivitas rapat pleno tidak hanya meningkatkan nilai demokrasi juga mengurangi potensi konflik kepentingan yang bisa merugikan pemerintah ,"['rekapitulasi', 'suara', 'daerah', 'lancar', 'kondusif', 'kondusivitas', 'rapat', 'pleno', 'tidak', 'tingkat', 'nilai', 'demokrasi', 'kurang', 'potensi', 'konflik', 'penting', 'rugi', 'perintah']"
1312,indonesia menunjukkan kedewasaan demokrasi pada pemilu dengan persatuan dan keharmonisan ,"['indonesia', 'dewasa', 'demokrasi', 'milu', 'satu', 'harmonis']"
1313,kinerja kpu di pemilu menunjukkan komitmen kuat pada keadilan dan transparansi melalui regulasi ketat dan adaptasi terhadap tantangan daerah ,"['kerja', 'kpu', 'milu', 'komitmen', 'kuat', 'adil', 'transparansi', 'regulasi', 'ketat', 'adaptasi', 'tantang', 'daerah']"
